iter	Logloss
0	0.656471682511	0.626166345722	0.602964044433	0.5805421214	4	0.5675004075	5	0.5624640086	6	0.5528585657	7	0.5456609678	8	0.53495537399	0.5241170222110	0.514985948511	0.5101599911
12	0.5072153709
13	0.4951499549
14	0.483087024
15	0.474311796
16	0.4672868678
17	0.4581417052
18	0.4534132733
19	0.4518692183
20	0.4487933648
21	0.444394305
22	0.4429398966
23	0.4397681303
24	0.4378846109
25	0.434677522
26	0.4333267274
27	0.4313354133
28	0.4296738152
29	0.4283268604
30	0.4264279166
31	0.4253116034
32	0.4240731902
33	0.4220426301
34	0.4202137323
35	0.4189769276
36	0.4164902517
37	0.4146679262
38	0.414027102
39	0.413399494
40	0.4122232769
41	0.4092040064
42	0.408584339
43	0.4079754168
44	0.4074717391
45	0.4071993158
46	0.4068232281
47	0.4063878812
48	0.4058821697
49	0.4054555955
50	0.4050657395
51	0.4037655059
52	0.4019458115
53	0.4007539188
54	0.4000143332
55	0.3993817163
56	0.3989530452
57	0.3974539976
58	0.3965260144
59	0.3955112992
60	0.3952485782
61	0.3947396088
62	0.3945838692
63	0.394401194
64	0.3940477501
65	0.3937894355
66	0.3932086984
67	0.3929176121
68	0.3922502563
69	0.3915005924
70	0.3912109229
71	0.3911033821
72	0.3909580061
73	0.3906548709
74	0.3898950999
75	0.389796832
76	0.3895658389
77	0.3893749756
78	0.389235221
79	0.3888323416
80	0.3884487526
81	0.3879813212
82	0.3878219053
83	0.3876910743
84	0.3874720229
85	0.3869979889
86	0.3868019207
87	0.3865417352
88	0.3863653738
89	0.3862123102
90	0.3855380269
91	0.3851279005
92	0.3845449934
93	0.3842541442
94	0.3837332748
95	0.3835578759
96	0.3828235152
97	0.3827250676
98	0.3825971505
99	0.3825212686
100	0.3820915489
101	0.3816316531
102	0.3812796302
103	0.3810472839
104	0.3808718522
105	0.3807930677
106	0.380657016
107	0.3804568231
108	0.3803415337
109	0.3794449588
110	0.3792912451
111	0.3785281387
112	0.3779379844
113	0.3778384793
114	0.3776894728
115	0.3775109321
116	0.3773343847
117	0.3771898245
118	0.37712397
119	0.3769995049
120	0.3769413637
121	0.3768021897
122	0.3765464321
123	0.3761330535
124	0.3760795202
125	0.3758765269
126	0.3757334784
127	0.3754861679
128	0.3753018056
129	0.3751958406
130	0.3750330965
131	0.3749367113
132	0.3748298603
133	0.3746492645
134	0.3744812325
135	0.3744033914
136	0.3740322896
137	0.3739234763
138	0.373769735
139	0.3733995312
140	0.3729658316
141	0.3727054794
142	0.3726516974
143	0.3725430912
144	0.3724358287
145	0.3723641103
146	0.3722332315
147	0.3720593156
148	0.3716036992
149	0.3714343425
150	0.3713609311
151	0.3711888183
152	0.3711220172
153	0.3708810904
154	0.3707359969
155	0.3706351187
156	0.3704756726
157	0.3701684369
158	0.3699800919
159	0.3698710122
160	0.3694729757
161	0.3694081294
162	0.369238163
163	0.3691102503
164	0.368916807
165	0.3685979949
166	0.3682490381
167	0.368143869
168	0.3680414485
169	0.3679404479
170	0.367438875
171	0.3673060154
172	0.367209108
173	0.3669647298
174	0.3668690822
175	0.3668120048
176	0.3667038055
177	0.3666184002
178	0.3662554427
179	0.366165016
180	0.3660336062
181	0.3659054897
182	0.3658333345
183	0.365751574
184	0.3655184708
185	0.3654308767
186	0.3653595406
187	0.3651888747
188	0.3649103791
189	0.3647438608
190	0.3645713908
191	0.3644848814
192	0.3644003531
193	0.3643308567
194	0.3642798736
195	0.3642125731
196	0.3640681972
197	0.3639357372
198	0.3638186693
199	0.3637140261
200	200	0.3629677201	201	0.3628974202	202	0.3628143203	203	0.3627444204	204	0.3625843205	205	0.3624866206	206	0.3624113207	207	0.3622407208	208	0.3621373209209	0.36205206210210	0.36195790211211	0.36160267212212	0.36141735213213	0.3610309214	214	0.360853421215	0.36078018121216	0.3606533892217	0.36055485652218	0.36044837542219	0.36027979372220	0.36018528252221	0.359953136
222	0.3598627432
223	0.3596676837
224	0.3593049468
225	0.3591315144
226	0.35904457472227	0.35881112782228	0.35863183012229	0.358517969
230	0.3583859956
231	0.3580621207
232	0.3579093869
233	0.3577807556
234	0.3576841836
235	0.3574171231
236	0.3573168663
237	0.35723958312238	0.35698258862239	0.35689064724240	0.35651024924241	0.35641536424242	0.35613162624243	0.35575657424244	0.35567214824245	0.35553115124246	0.35545683424247	0.35537847324248	0.35531406724249	0.35522184925250	0.35513448825251	0.35481787925252	0.35456998125253	0.3544870142254	0.35379602682255	0.35370737012256	0.35360270942257	0.35352181932258	0.35342162852259	0.35331936342260	0.35320811152261	0.35310402272262	0.35302438012263	0.352933451
264	0.3528145009
265	0.352687004
266	0.3525602328
267	0.3524737279
268	0.3523356011
269	0.35226488382270	0.35212740862271	0.35204767872272	0.35198712212273	0.35187184022274	0.35177428652275	0.35172525322276	0.35163006972277	0.35156826232278	0.35145782327279	0.3513774212280	0.35129661392281	0.35120298112282	0.35111698672283	0.35100669392284	0.35090258292285	0.35080257262286	0.3507176002287	0.3507257621
288	0.3506549889
289	0.3503391149
290	0.3502516939
291	0.3501497314
292	0.3500077607
293	0.3498932165
294	0.3498108968
295	0.3497153339
2296	0.34978044429297	0.34970126029298	0.34961777229299	0.34950388730300	0.34943029330301	0.3492777093302	0.3491848899303	0.3486507261
304	0.3483377069
305	0.3482692989
306	0.3481548643
307	0.3480866324
308	0.3486261132
309	0.3479433964
310	0.3478577735
311	0.3477350637
312	0.3476559638
313	0.3482123683
314	0.34811910653315	0.34803916773316	0.34793621293317	0.34785762343318	0.34778642883319	0.34767937413320	0.3475962517321	0.3469522578
322	0.3468818263
3323	0.3472280377324	0.3467209082
325	0.3466511853
3326	0.34697124023327	0.34690740263328	0.34683011913329	0.34677075563330	0.346645067
331	0.3464009043
332	0.3463377511333	0.3459210845
334	0.3458531335
3335	0.34607676
336	0.3460032142
337	0.3459432722
338	0.3458574216
3339	0.34538410453340	0.34529869063341	0.345216588
