iter	Passed	Remaining
0	12	12774
1	24	12332
2	34	11621
3	45	11274
4	54	10877
5	64	10640
6	72	10322
7	80	9994
8	89	9812
9	97	9675
10	105	9529
11	1111	126	12	12212	13513	130	13	1414	138	914	115	146	9015	166	10264
16	177	10243
17	186	10162
18	195	10108219	205	10052120	213	9972221	223	9930
22	230	9782423	238	9692524	247	9641
25	255	9589
26	264	9537
27	272	9475
28	281	9429
29	290	9408
30	301	9436
31	310	9387
32	318	9333
33	327	9316
34	337	9293
35	344	9235
36	352	9186
37	362	9166
38	370	9139
39	378	9080
40	386	9042
41	396	9033
42	404	8999
43	412	8964
44	421	8937
45	429	8906
46	438	8891
47	448	8897
48	457	8879
49	466	8863
50	475	8843
51	483	8821
52	492	8808
53	501	8789
54	510	8764
55	520	8776
56	528	8744
57	537	8731
58	546	8714
59	554	8692
60	563	8670
61	572	8659
62	582	8659
63	592	8664
64	601	8650
65	610	8641
66	619	8629
67	627	8600
68	638	8609
69	646	8590
70	655	8570
71	666	8589
72	676	8588
73	685	8578
74	694	8569
75	703	8551
76	711	8523
77	718	8497
78	726	8472
79	736	8469
80	744	8446
81	751	8417
82	769	8500
83	778	8486
84	786	8466
85	796	8461
86	805	8457
87	815	8455
88	825	8448
89	833	8432
90	842	8417
91	851	8400
92	860	8389
93	869	8378
94	878	8369
95	889	8377
96	899	8369
97	906	8347
98	916	8343
99	926	8334
100	935	8323
101	943	8302
102	951	8282
103	959	8265
104	968	8252
105	978	8249
106	988	8252
107	997	8239
108	1005	8222
109	1015	8213
110	1024	8204
111	1032	8186
112	1041	8173
113	1050	8164
114	1058	8148
115	1066	8130
116	1074	8111
117	1083	8099
118	1092	8090
119	1100	8071
120	1109	8060
121	1118	8050
122	1127	8037
123	1136	8030
124	1144	8013
125	1153	8000
126	1161	7984
127	1171	7979
128	1180	7967
129	1188	7952
130	1200	7966
131	1213	7979
132	1223	7974
133	1233	7973
134	1243	7967
135	1255	7978
136	1265	7971
137	1274	7958
138	1281	7939
139	1292	7939
140	1302	7935
141	1312	7928
142	1321	7922
143	1330	7911
144	1340	7903
145	1349	7890
146	1358	7880
147	1368	7876
148	1376	7863
149	1386	7855
150	1394	7839
151	1403	7828
152	1411	7811
153	1419	7797
154	1427	7782
155	1437	7774
156	1445	7760
157	1454	7751
158	1468	7765
159	1476	7752
160	1485	7739
161	1493	7725
162	1503	7719
163	1510	7701
164	1519	7690
165	1528	7681
166	1536	7665
167	1545	7651
168	1554	7644
169	1563	7633
170	1572	7624
171	1580	7606
172	1588	7592
173	1596	7580
174	1604	7566
175	1613	7556
176	1623	7549
177	1632	7538
178	1639	7521
179	1649	7514
180	1659	7509
181	1667	7496
182	1675	7481
183	1684	7468
184	1692	7458
185	1701	7445
186	1709	7433
187	1717	7416
188	1724	7401
189	1732	7386
190	1740	7372
191	1748	7356
192	1756	7346
193	1766	7339
194	1776	7332
195	1785	7325
196	1794	7315
197	1802	7299
198	1812	7296
199	1821	7287
200	1829	7273
201	1839	7267
202	1848	7258
203	1857	7247
204	1867	7240
205	1876	7230
206	1884	7220
207	1895	7216
208	1902	7201
209	1911	7190
210	1921	7183
211	1930	7177
212	1939	7165
213	1948	7156
214	1956	7145
215	1966	7136
216	1974	7124
217	1984	7116
218	1992	7104
219	2001	7096
220	2010	7086
221	2019	7076
222	2028	7067
223	2037	7059
224	2046	7049
225	2055	7041
226	2064	7030
227	2074	7022
228	2083	7013
229	2092	7004
230	2102	6998
231	2110	6985
232	2118	6972
233	2126	6962
234	2135	6951
235	2144	6940
236	2152	6928
237	2160	6918
238	2171	6913
239	2180	6903
240	2189	6895
241	2197	6883
242	2206	6873
243	2216	6866
244	2224	6854
245	2235	6851
246	2244	6842
247	2253	6833
248	2262	6822
249	2272	6816
250	2281	6807
